Dataset,Method,Median reference ARI,Reference ARI SD,Median reference NMI,Reference NMI SD,Median pairwise partition ARI,5th percentile pairwise partition ARI,Minimum pairwise partition ARI,"Iso-accuracy pairs, n",Median iso-accuracy partition ARI,Minimum iso-accuracy partition ARI,"Divergent iso-accuracy pairs, n",Divergent iso-accuracy fraction
151673,SEDR,0.56939435313099995,0.0416214843323,0.68729281423300004,0.0237226542097,0.75367852470899988,0.58664962241700003,0.53436146714300004,44,0.79243238644199987,0.54280929087200003,0,0
151674,GraphST,0.19729959180000001,0.023571647590000001,0.35777171029999999,0.019672459680000001,0.57277805650000002,0.50338091630000004,0.46152204349999998,77,0.5898873966,0.477848365,1,0.01298701299
151674,STAGATE,0.2129617979,0.027466264979999998,0.36449488089999998,0.02193045721,0.55166269400000001,0.39919685830000001,0.327801542,95,0.57277740440000002,0.39384802270000002,20,0.2105263158
151674,SpaGCN,0.2285163325,0.019296033139999998,0.37121993489999999,0.01977121209,0.71845142490000002,0.4987148085,0.46439144370000002,117,0.75265745549999996,0.5173664026,0,0
151674,BANKSY,0.21509678769999999,0.036213405740000003,0.39172654670000001,0.029171647960000002,0.74346297780000004,0.56139328820000001,0.46953278389999997,87,0.84833826349999997,0.46953278389999997,1,0.011494252870000001
151674,SEDR,0.57821223946,0.058361445690700002,0.69321969804399985,0.041292258465200002,0.712414055923,0.49776109597099988,0.44481793120099988,35,0.73314290525199988,0.50228015539299986,0,0
151675,GraphST,0.1463724951,0.01783732935,0.3532245269,0.030358988430000001,0.52687043570000003,0.33885454310000002,0.29169046269999999,115,0.54409950929999995,0.36217064879999999,28,0.24347826089999999
151675,STAGATE,0.18739438459999999,0.023838038759999999,0.36643292799999999,0.027435386530000001,0.61808615960000002,0.52035799670000005,0.46970521500000001,78,0.62953985170000004,0.50348818370000004,0,0
151675,SpaGCN,0.23765007339999999,0.019640529520000002,0.38406120849999997,0.022619837019999998,0.54324466810000005,0.41494789679999999,0.37495046440000002,98,0.55476751670000002,0.37495046440000002,34,0.34693877550000002
151675,BANKSY,0.24705687079999999,0.05896970587,0.4377573763,0.06164792233,0.60485554460000002,0.49182787169999997,0.35239227159999997,38,0.74420400590000002,0.49796397889999999,1,0.02631578947
151675,SEDR,0.53639259673899986,0.033727525241399901,0.67043073118600005,0.023171212150400002,0.74789162545200005,0.64540702949399986,0.57455290375599988,52,0.75767739994200001,0.58428210649199985,0,0
151676,GraphST,0.1610284736,0.011151799089999999,0.35884031049999998,0.01468466217,0.58545794849999999,0.5358989972,0.50236586559999996,157,0.5915845502,0.54033077730000001,0,0
151676,STAGATE,0.1747355438,0.017023057769999999,0.36198811959999999,0.015389966539999999,0.62676511629999998,0.53803196580000001,0.50657766299999996,111,0.638589348,0.50657766299999996,0,0
151676,SpaGCN,0.2255013488,0.01491725488,0.35717749650000002,0.017852864199999999,0.60851845819999995,0.5008012436,0.43761472340000002,122,0.61738728229999995,0.44787762879999998,6,0.049180327869999999
151676,BANKSY,0.23858972649999999,0.033211686800000001,0.43216712740000002,0.032953501670000003,0.6684502538,0.50751391970000004,0.3799708698,87,0.82531272690000002,0.39704633109999998,2,0.022988505749999999
151676,SEDR,0.53107335468299988,0.041314208265599901,0.67579944319600005,0.023328187255000001,0.74653005536600003,0.62753482373000002,0.55481471721999986,51,0.776879368071,0.68999482831799985,0,0
STARmap,GraphST,0.48296382380000002,0.041405861150000001,0.56990742520000004,0.027202440540000001,0.60403616579999997,0.48056241700000002,0.44874110680000001,73,0.64595528820000003,0.5237881204,0,0
STARmap,STAGATE,0.2980304272,0.022978218830000001,0.3202517775,0.01495585074,0.64933599659999997,0.52654632670000001,0.47725225869999999,101,0.6967743622,0.52228385759999996,0,0
STARmap,SpaGCN,0.37378776930000002,0.061818635990000002,0.40730901559999999,0.050758745850000002,0.50308775530000005,0.36791284499999999,0.31980937590000003,26,0.56135849559999995,0.36479603859999998,11,0.4230769231
