Dataset,Method,Empirical P(rank 1),Expected empirical rank,Median empirical rank,P(top 2),P(top 3),Within-unit partition-to-marker Spearman rho,Low-tertile marker Jaccard,Middle-tertile marker Jaccard,High-tertile marker Jaccard,20-seed consensus reference ARI,Split-half consensus ARI,Consensus reproducibility gain
151676,BANKSY,0,2.5474999999999999,2,0.64500000000000002,0.85799999999999987,0.94432271999999995,0.59999999999999998,0.92307691999999997,0.98019802,0.24710829400000001,0.98924171490000001,0.32079146110000001
151676,SEDR,1,1,1,1,1,0.66132170970000004,0.72413793100000001,0.73913043479999985,0.78571428570000001,0.56402992894399995,0.809204532019,0.0626744766530999
STARmap,GraphST,0.0106625,2.8849999999999998,3,0.18454999999999991,0.91978749999999998,0.81013659000000005,0.51515151999999997,0.63268025999999999,0.73913043,0.52765654370000004,0.83964263930000005,0.2356064735
STARmap,STAGATE,0,4.8574999999999999,5,0,0,0.81725716000000004,0.68067226999999997,0.76991149999999997,0.78571429000000004,0.31565850080000002,0.83086393140000003,0.18152793480000001
STARmap,SpaGCN,0.00029999999999990001,4.0374999999999996,4,0.0066499999999998999,0.098049999999999901,0.85019789000000001,0.51515151999999997,0.61290323000000002,0.74675820000000004,0.4457124851,0.80758307910000005,0.3044953238
STARmap,BANKSY,0.52118750000000003,1.605,1,0.87975000000000003,0.99406249999999996,0.82858527999999998,0.80180180000000001,0.88679244999999995,0.96078430999999997,0.56157682229999994,0.95448626169999995,0.068377901589999998
STARmap,SEDR,0.46784999999999988,1.615,2,0.92905000000000004,0.98809999999999998,0.70398324540000001,0.70940170940000002,0.83486238530000001,0.83486238530000001,0.53665051979,0.94221687804499998,0.186814378497
HBCA1,GraphST,0.0011249999999999,3.48,4,0.033750000000000002,0.48512499999999992,0.60560088999999995,0.68067226999999997,0.72413793000000004,0.72846303000000001,0.56700605000000004,0.85711624490000005,0.18554690630000001
HBCA1,STAGATE,0.4325,1.5825,2,0.98562499999999997,0.99937500000000001,0.37918161,0.72465060999999997,0.73913043,0.74675820000000004,0.65596815159999999,0.88692460959999997,0.115787482
HBCA1,SpaGCN,0,3.4824999999999999,3,0.002,0.51549999999999985,0.26229867000000001,0.70952658999999996,0.72413793000000004,0.75438596000000002,0.53896238730000001,0.83146670720000004,0.13536677480000001
HBCA1,BANKSY,0.56637499999999985,1.4550000000000001,1,0.97862499999999997,1,0.63245901000000004,0.84335711999999996,0.86050537000000005,0.90476190000000001,0.60243703770000001,0.95603374919999995,0.094543868229999994
HBCA1,SEDR,0,5,5,0,0,0.67576728480000003,0.77428000080000003,0.81006493509999988,0.85201063190000004,0.40853010909900001,0.80176849043999987,0.16366370365800001
Bregma −0.04,GraphST,0,2.1375000000000002,2,0.90973749999999998,0.95827499999999999,0.55407600729999995,0.86082741910000005,0.87896965419999995,0.90484829639999997,0.2370701214,0.757400882,0.42942999710000002
Bregma −0.04,STAGATE,1,1,1,1,1,0.54751015970000005,0.86932215229999998,0.86981214500000004,0.9230769231,0.40152291229999998,0.60441510549999999,0.090365227719999996
Bregma −0.04,SpaGCN,0,4.8224999999999998,5,0.0041625000000000004,0.0458,0.49963937359999999,0.86956714869999996,0.87022075779999997,0.91391941389999998,0.12666049030000001,0.58479137510000001,0.2488639121
Bregma −0.04,BANKSY,0,3.645,4,0.036812499999999901,0.38950000000000001,0.87809020739999999,0.97049116680000003,0.98019801979999999,1,0.15711470220000001,0.99332189859999998,0.35965168479999998
Bregma −0.04,SEDR,0,3.395,3,0.049287499999999901,0.60642499999999988,0.33869676999999992,0.88948306600000004,0.91391941389999998,0.93707991040000005,0.15866719781700001,0.55714211762999988,0.029296432544099901
Bregma −0.09,GraphST,0.0908749999999999,2.1025,2,0.83199999999999985,0.97675000000000001,0.17335348270000001,0.90476190479999996,0.90026954179999996,0.91391941389999998,0.3213864085,0.5546044859,0.072097845679999994
Bregma −0.09,STAGATE,0.88749999999999984,1.1174999999999999,1,0.995,1,0.50924808909999997,0.88679245279999996,0.90493468799999999,0.91391941389999998,0.41877300200000001,0.77727575699999996,0.16504473589999999
Bregma −0.09,SpaGCN,0,4.1574999999999998,4,0.023425000000000001,0.27165,0.81394872070000002,0.89611790079999998,0.92316583090000004,0.94183909560000001,0.2891371465,0.56397195369999997,0.14262569829999999
Bregma −0.09,BANKSY,0,4.0125000000000002,4,0.010075000000000001,0.25035000000000002,0.92734425860000003,0.98019801979999999,1,1,0.23068680959999999,0.99982784940000002,0.049592031940000003
Bregma −0.09,SEDR,0.021624999999999901,3.6099999999999999,3,0.13950000000000001,0.50124999999999986,0.58817754600000005,0.86483212180000002,0.86483212180000002,0.91427001279999998,0.230932418911,0.66278662156299994,0.13994437504099991
Bregma −0.14,GraphST,0.29249999999999993,1.7075,2,1,1,0.4437400218,0.88696039159999995,0.88696039159999995,0.91391941389999998,0.36874271780000001,0.75925814410000003,0.29248956659999997
Bregma −0.14,STAGATE,0.70750000000000002,1.2925,1,1,1,0.7086184673,0.88687642219999996,0.93717143319999996,0.95126594330000003,0.46752854430000002,0.77940775250000005,0.2373537745
Bregma −0.14,SpaGCN,0,4.4024999999999999,5,0,0.16850000000000001,0.56143824990000002,0.93241224789999999,0.93241224789999999,0.94659828079999997,0.25240791369999999,0.65553070120000001,0.1943585142
Bregma −0.14,BANKSY,0,3.9249999999999998,4,0,0.31237500000000001,0.80267698379999997,0.99009900989999999,1,1,0.25941515370000001,0.87262687910000003,0.038261553529999999
Bregma −0.14,SEDR,0,3.6724999999999999,3,0,0.51912499999999995,0.54564221040000005,0.93277310920000001,0.94193061840000003,0.96078431369999995,0.22515669358099991,0.77728472766500001,0.17147010445399991
Bregma −0.19,GraphST,0,2.1225000000000001,2,0.93554999999999999,0.95814999999999995,0.50374799309999996,0.92325473879999997,0.94193061840000003,0.95126594330000003,0.41340274659999998,0.79811751350000004,0.25295146260000001
Bregma −0.19,STAGATE,1,1,1,1,1,0.8837015157,0.85328185329999995,0.90476190479999996,0.95126594330000003,0.61532275729999997,0.72478265399999997,0.118447277
Bregma −0.19,SpaGCN,0,4.1524999999999999,5,0.032274999999999901,0.35020000000000001,0.77384928819999999,0.91391941389999998,0.92325473879999997,0.94174757279999999,0.30688189799999999,0.57351659310000003,0.20583190740000001
Bregma −0.19,BANKSY,0,4.0724999999999998,4,0.0104,0.230325,NA,1,1,1,0.28041869920000001,0.99881646989999995,0.0029742648980000002
Bregma −0.19,SEDR,0,3.6524999999999999,4,0.021774999999999899,0.46132499999999987,0.67567810930000005,0.92325473879999997,0.94193061840000003,0.96078431369999995,0.28527483370899992,0.91268665500000001,0.18862387916699991
Bregma −0.24,GraphST,0.0074999999999999,2,2,0.99275000000000002,0.99975000000000003,0.4406518109,0.91391941389999998,0.93241224789999999,0.93241224789999999,0.43335146540000002,0.70024300449999999,0.2006389371
Bregma −0.24,STAGATE,0.99250000000000005,1.0075000000000001,1,1,1,0.74208767939999998,0.82743658210000004,0.88679245279999996,0.92783349339999999,0.57341058860000005,0.76454508580000002,0.1632780482
Bregma −0.24,SpaGCN,0,3.9375,4,0.0047499999999999001,0.36449999999999988,0.62458728949999998,0.93277310920000001,0.94659828079999997,0.96573198149999995,0.25877164990000001,0.6634558197,0.17803466439999999
Bregma −0.24,BANKSY,0,3.5299999999999998,3,0,0.53812499999999985,0.67079364050000001,0.98019801979999999,0.98019801979999999,1,0.2637704635,0.98350745839999998,0.33598861060000001
Bregma −0.24,SEDR,0,4.5250000000000004,5,0.0025000000000000001,0.097625000000000003,0.84713267609999987,0.87797566569999985,0.94193061840000003,0.96078431369999995,0.18225806422599991,0.945148007889,0.32892400572800001
