section,dataset_display,method,seed_r,seed_s,abs_reference_ari_difference,pairwise_partition_ari,top50_marker_jaccard,top100_marker_jaccard,marker_rank_spearman,aligned_domains_compared_n,aligned_domains_compared,marker_pipeline_source,partition_ari_tertile,section_display,marker_set_size
151507,151507,GraphST,11,15,0.01544158,0.49722665,0.88679245,0.9047619,0.94191318,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,11,16,0.01027815,0.57452097,0.81818182,0.85185185,0.93879817,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,11,20,0.01248558,0.41079278,0.69491525,0.70940171,0.87213116,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,12,13,0.00969223,0.35362003,0.81818182,0.78571429,0.87565735,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,12,17,0.01650643,0.43225102,0.81818182,0.8018018,0.88862012,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,12,18,0.01459134,0.46623489,0.75438596,0.78571429,0.89177622,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,12,19,0.00296729,0.4882311,0.81818182,0.7699115,0.89697699,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,13,19,0.01265952,0.4124198,0.81818182,0.75438596,0.87569194,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,14,15,0.00203033,0.42226636,0.75438596,0.75438596,0.87217466,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,14,16,0.0031331,0.38796361,0.81818182,0.75438596,0.8690971,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,14,17,0.00857351,0.41367251,0.75438596,0.73913043,0.84863134,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,14,18,0.0104886,0.4127821,0.78571429,0.72413793,0.8475606,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,14,20,0.00092567,0.46253075,0.58730159,0.62601626,0.78477897,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,15,16,0.00516343,0.47153249,0.85185185,0.83486239,0.93854408,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,15,17,0.00654318,0.56255357,0.85185185,0.85185185,0.93055108,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,15,18,0.00845826,0.52748351,0.85185185,0.78571429,0.93203108,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,15,20,0.002956,0.35732121,0.69491525,0.61290323,0.86019904,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,16,17,0.01170661,0.4684173,0.85185185,0.85185185,0.93191723,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
