section,dataset_display,method,partition_ari_tertile,n_pairs,median_pairwise_partition_ari,median_top100_marker_jaccard,median_top50_marker_jaccard,median_marker_rank_spearman,section_display
151675,151675,BANKSY,High,12,0.99518877,1,1,0.99993929,151675
151675,151675,BANKSY,Low,13,0.61376729,0.68067227,0.61290323,0.93119371,151675
151675,151675,BANKSY,Middle,13,0.75568016,0.5625,0.78571429,0.92398883,151675
151675,151675,SEDR,High,17,0.7979733228,0.78571428570000001,0.81818181820000002,0.93772841439999999,151675
151675,151675,SEDR,Low,18,0.69222079839999995,0.63934426229999997,0.66666666669999997,0.8877408644,151675
151675,151675,SEDR,Middle,17,0.7596051976,0.72413793100000001,0.75438596489999998,0.91992009689999998,151675
151676,151676,GraphST,High,52,0.6130542,0.7699115,0.78571429,0.90930892,151676
151676,151676,GraphST,Low,53,0.5676431,0.73913043,0.75438596,0.89549334,151676
151676,151676,GraphST,Middle,52,0.59159095,0.75438596,0.75438596,0.90321741,151676
151676,151676,STAGATE,High,37,0.69127153,0.8018018,0.78571429,0.90926315,151676
151676,151676,STAGATE,Low,37,0.57522147,0.7699115,0.75438596,0.87914334,151676
151676,151676,STAGATE,Middle,37,0.63858935,0.75438596,0.75438596,0.89209337,151676
151676,151676,SpaGCN,High,40,0.69167236,0.72413793,0.75438596,0.94453453,151676
151676,151676,SpaGCN,Low,41,0.55636101,0.63934426,0.69491525,0.91242914,151676
151676,151676,SpaGCN,Middle,41,0.61773048,0.68067227,0.72413793,0.93249803,151676
151676,151676,BANKSY,High,29,0.99319232,0.98019802,0.96078431,0.99874255,151676
151676,151676,BANKSY,Low,29,0.58013746,0.6,0.63934426,0.87846487,151676
151676,151676,BANKSY,Middle,29,0.82531273,0.92307692,0.85185185,0.98046018,151676
151676,151676,SEDR,High,17,0.83063745200000005,0.78571428570000001,0.78571428570000001,0.94393245020000005,151676
151676,151676,SEDR,Low,17,0.74005754089999998,0.72413793100000001,0.72413793100000001,0.91259473700000004,151676
151676,151676,SEDR,Middle,17,0.77687936810000002,0.73913043479999996,0.75438596489999998,0.92654124829999995,151676
STARmap_20180505_BY3_1k,STARmap,GraphST,High,24,0.70122227,0.73913043,0.75438596,0.94451547,STARmap
STARmap_20180505_BY3_1k,STARmap,GraphST,Low,25,0.56266757,0.51515152,0.51515152,0.83174561,STARmap
STARmap_20180505_BY3_1k,STARmap,GraphST,Middle,24,0.64632825,0.63268026,0.63934426,0.89687642,STARmap
STARmap_20180505_BY3_1k,STARmap,STAGATE,High,33,0.73364548,0.78571429,0.81818182,0.95763968,STARmap
STARmap_20180505_BY3_1k,STARmap,STAGATE,Low,34,0.59576219,0.68067227,0.72413793,0.91018843,STARmap
STARmap_20180505_BY3_1k,STARmap,STAGATE,Middle,34,0.69699723,0.7699115,0.81818182,0.94597793,STARmap
STARmap_20180505_BY3_1k,STARmap,SpaGCN,High,8,0.69615665,0.7467582,0.75438596,0.94773401,STARmap
