section,method,seed,reference_ari,reference_nmi,n_spots,n_clusters,feature_hash,coordinate_hash,graph_hash,elapsed_seconds,device,section_display,n_cells,n_genes
151507,SpaGCN,13,0.3105328954,0.4725572867,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,91d9c9f886445b3c211029b2b026144c5ee3dba4c191e633aedb112996c56295,23.33923531,cpu,151507,,
151507,SpaGCN,14,0.4044803982,0.5137931739,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,91d9c9f886445b3c211029b2b026144c5ee3dba4c191e633aedb112996c56295,23.8129499,cpu,151507,,
151507,SpaGCN,15,0.3535688977,0.4671300903,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,91d9c9f886445b3c211029b2b026144c5ee3dba4c191e633aedb112996c56295,23.99479318,cpu,151507,,
151507,SpaGCN,16,0.4619630376,0.567712577,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,91d9c9f886445b3c211029b2b026144c5ee3dba4c191e633aedb112996c56295,20.68040562,cpu,151507,,
151507,SpaGCN,17,0.297623073,0.4467240302,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,91d9c9f886445b3c211029b2b026144c5ee3dba4c191e633aedb112996c56295,16.77380824,cpu,151507,,
151507,SpaGCN,18,0.289271216,0.4827349751,4226,6,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,91d9c9f886445b3c211029b2b026144c5ee3dba4c191e633aedb112996c56295,16.03821349,cpu,151507,,
151507,SpaGCN,19,0.3791888992,0.5023923402,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,91d9c9f886445b3c211029b2b026144c5ee3dba4c191e633aedb112996c56295,16.28485012,cpu,151507,,
151507,SpaGCN,20,0.2925858015,0.471376225,4226,6,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,91d9c9f886445b3c211029b2b026144c5ee3dba4c191e633aedb112996c56295,16.15181422,cpu,151507,,
151507,BANKSY,1,0.24463751,0.5525612229,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,d91d62d48ba63cc43b05a02d33d67f4a29d7a8405221510ce40d3323620baff9,7.426613808,cpu,151507,,
151507,BANKSY,2,0.2826629233,0.4885528731,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,d91d62d48ba63cc43b05a02d33d67f4a29d7a8405221510ce40d3323620baff9,0.3242771626,cpu,151507,,
