section,section_display,method,rank,rank_x2,count,probability,enumerated_combinations,rank_rule,interpretation_unit
151669,151669,BANKSY,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,BANKSY,2,4,2849200,0.89037500000000003,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,BANKSY,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,BANKSY,3,6,317600,0.099250000000000005,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,BANKSY,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,BANKSY,4,8,25200,0.0078750000000000001,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,BANKSY,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,BANKSY,5,10,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,SEDR,1,2,3192000,0.99750000000000005,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,SEDR,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,SEDR,2,4,8000,0.0025000000000000001,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,SEDR,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,SEDR,3,6,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,SEDR,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,SEDR,4,8,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,SEDR,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,SEDR,5,10,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,GraphST,1,2,113600,0.035499999999999997,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,GraphST,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,GraphST,2,4,430800,0.13462499999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,GraphST,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,GraphST,3,6,1506400,0.47075,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,GraphST,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
