section,method,n_seeds,median_reference_ari,reference_ari_sd,reference_ari_min,reference_ari_max,reference_ari_range,median_reference_nmi,reference_nmi_sd,median_pairwise_partition_ari,p05_pairwise_partition_ari,minimum_pairwise_partition_ari,median_pairwise_partition_nmi,partition_instability,section_display,p05_pairwise_partition_nmi,minimum_pairwise_partition_nmi
151676,BANKSY,20,0.2385897265,0.0332116868,0.1550417214,0.281441295,0.1263995736,0.4321671274,0.03295350167,0.6684502538,0.5075139197,0.3799708698,0.7310427392,0.3315497462,151676,,
151676,SEDR,20,0.53107335468299999,0.041314208265599998,0.420494151298,0.58701899846500005,0.16652484716800001,0.67579944319600005,0.023328187255000001,0.74653005536600003,0.62753482373000002,0.55481471721999998,0.78171805757199997,0.25346994463400002,151676,0.72958892653304996,0.68045268028000006
STARmap_20180505_BY3_1k,GraphST,20,0.4829638238,0.04140586115,0.3563668143,0.5216490188,0.1652822045,0.5699074252,0.02720244054,0.6040361658,0.480562417,0.4487411068,0.6743587296,0.3959638342,STARmap,,
STARmap_20180505_BY3_1k,STAGATE,20,0.2980304272,0.02297821883,0.2269493604,0.3235788139,0.09662945348,0.3202517775,0.01495585074,0.6493359966,0.5265463267,0.4772522587,0.6887735777,0.3506640034,STARmap,,
STARmap_20180505_BY3_1k,SpaGCN,20,0.3737877693,0.06181863599,0.256479988,0.4703902817,0.2139102936,0.4073090156,0.05075874585,0.5030877553,0.367912845,0.3198093759,0.5371105883,0.4969122447,STARmap,,
STARmap_20180505_BY3_1k,BANKSY,20,0.5623667717,0.04351074727,0.4559697612,0.6142206457,0.1582508845,0.6502365752,0.02044357839,0.8861083602,0.709682915,0.6199344131,0.8826281066,0.1138916398,STARmap,,
STARmap_20180505_BY3_1k,SEDR,20,0.55571912582100003,0.047694211896899999,0.422251159401,0.61850481719999995,0.196253657799,0.64562893752700001,0.0297517313188,0.75540249954700001,0.58888089072000005,0.47642144829299998,0.79355886266800002,0.24459750045299999,STARmap,0.70596011171204998,0.63793280259600005
HBCA1,GraphST,20,0.5236826808,0.02770772441,0.48990955,0.5743987348,0.08448918485,0.5832891785,0.01363229317,0.6715693387,0.6143616637,0.582191467,0.7067696082,0.3284306613,HBCA1,,
HBCA1,STAGATE,20,0.6241341146,0.02399759948,0.5547580721,0.6462814643,0.09152339213,0.6620102279,0.009437729311,0.7711371276,0.7128076003,0.6819993579,0.7822662739,0.2288628724,HBCA1,,
HBCA1,SpaGCN,20,0.5343885563,0.01901165755,0.4952148264,0.5605536969,0.06533887043,0.6291916692,0.01139614671,0.6960999323,0.6469890775,0.6191839464,0.771092952,0.3039000677,HBCA1,,
HBCA1,BANKSY,20,0.6348104992,0.02788347275,0.5706647925,0.6522080246,0.08154323204,0.6786211809,0.008975285299,0.8614898809,0.7967975773,0.7578821291,0.8880236353,0.1385101191,HBCA1,,
HBCA1,SEDR,20,0.39282277657800002,0.030421941459600001,0.35782092835099999,0.45389238852500002,0.096071460174000006,0.65449721722499998,0.0073165421611400003,0.63810478678100002,0.55114922477999995,0.49061147399499999,0.81486804908300003,0.36189521321899998,HBCA1,0.78139366997219994,0.76046386329500004
MERFISH_Bregma_m0.04,GraphST,20,0.2234205638,0.02950054902,0.1493215115,0.293955731,0.1446342195,0.3864031058,0.03239049721,0.3279708849,0.2459992625,0.2302982823,0.4974493719,0.6720291151,Bregma -0.04,0.4437907626,0.39559747
MERFISH_Bregma_m0.04,STAGATE,20,0.402722006,0.06836256936,0.3072862325,0.5548836671,0.2475974346,0.5352548113,0.03897319124,0.5140498777,0.3907078333,0.313063318,0.6641145837,0.4859501223,Bregma -0.04,0.568300591,0.5310326075
MERFISH_Bregma_m0.04,SpaGCN,20,0.1262435323,0.0285418403,0.0808532446,0.1910755439,0.1102222993,0.2044857144,0.02856617157,0.335927463,0.2739251322,0.2486288907,0.4686380248,0.664072537,Bregma -0.04,0.4038689893,0.3856758527
MERFISH_Bregma_m0.04,BANKSY,20,0.1571147022,0.02352182305,0.09383401461,0.2058228474,0.1119888328,0.2591085718,0.02184575136,0.6336702138,0.5102672769,0.4719238601,0.8224520049,0.3663297862,Bregma -0.04,0.7549353304,0.7341484524
MERFISH_Bregma_m0.04,SEDR,20,0.168004673149,0.0179891805453,0.13453155793999999,0.206937157348,0.072405599407199997,0.29381237535400001,0.018207941181600001,0.52784568508600005,0.410203861507,0.37912229564099997,0.67303723819100003,0.47215431491400001,Bregma -0.04,0.60186255465124994,0.564104720211
MERFISH_Bregma_m0.09,GraphST,20,0.3528495043,0.04530183576,0.2710451076,0.4278380458,0.1567929381,0.4568897061,0.02120731752,0.4825066402,0.4103012357,0.3680922725,0.5790872678,0.5174933598,Bregma -0.09,0.5439242648,0.5126366619
