section,section_display,method,threshold,n_iso_accuracy_pairs,median_pairwise_partition_ari,minimum_pairwise_partition_ari,n_partition_ari_below_0_50,fraction_partition_ari_below_0_50
151676,151676,STAGATE,0.02,111,0.638589348,0.506577663,0,0
151676,151676,STAGATE,0.03,147,0.6304405097,0.506577663,0,0
151676,151676,SpaGCN,0.01,71,0.6177304832,0.4478776288,4,0.05633802817
151676,151676,SpaGCN,0.02,122,0.6173872823,0.4478776288,6,0.04918032787
151676,151676,SpaGCN,0.03,158,0.6138564223,0.4478776288,7,0.04430379747
151676,151676,BANKSY,0.01,57,0.9639764677,0.5682772043,0,0
151676,151676,BANKSY,0.02,87,0.8253127269,0.3970463311,2,0.02298850575
151676,151676,BANKSY,0.03,96,0.8234560959,0.3970463311,3,0.03125
151676,151676,SEDR,0.01,28,0.77523557815199995,0.68999482831799996,0,0
151676,151676,SEDR,0.02,51,0.776879368071,0.68999482831799996,0,0
151676,151676,SEDR,0.029999999999999999,74,0.77791259248400002,0.684311368659,0,0
STARmap_20180505_BY3_1k,STARmap,GraphST,0.01,45,0.6379197713,0.5237881204,0,0
STARmap_20180505_BY3_1k,STARmap,GraphST,0.02,73,0.6459552882,0.5237881204,0,0
STARmap_20180505_BY3_1k,STARmap,GraphST,0.03,104,0.6463282514,0.5237881204,0,0
STARmap_20180505_BY3_1k,STARmap,STAGATE,0.01,47,0.6977999925,0.5466640756,0,0
STARmap_20180505_BY3_1k,STARmap,STAGATE,0.02,101,0.6967743622,0.5222838576,0,0
STARmap_20180505_BY3_1k,STARmap,STAGATE,0.03,129,0.6886523011,0.5222838576,0,0
STARmap_20180505_BY3_1k,STARmap,SpaGCN,0.01,13,0.5521083673,0.4230344697,6,0.4615384615
STARmap_20180505_BY3_1k,STARmap,SpaGCN,0.02,26,0.5613584956,0.3647960386,11,0.4230769231
STARmap_20180505_BY3_1k,STARmap,SpaGCN,0.03,41,0.5846265345,0.3647960386,15,0.3658536585
STARmap_20180505_BY3_1k,STARmap,BANKSY,0.01,69,0.9598536297,0.8734389272,0,0
STARmap_20180505_BY3_1k,STARmap,BANKSY,0.02,102,0.9450052109,0.8647689316,0,0
STARmap_20180505_BY3_1k,STARmap,BANKSY,0.03,109,0.9437264481,0.8463562245,0,0
STARmap_20180505_BY3_1k,STARmap,SEDR,0.01,35,0.82780763537699997,0.66801302882799996,0,0
STARmap_20180505_BY3_1k,STARmap,SEDR,0.02,52,0.81705689584700003,0.66801302882799996,0,0
STARmap_20180505_BY3_1k,STARmap,SEDR,0.029999999999999999,76,0.81116977816299995,0.64860086164899999,0,0
HBCA1,HBCA1,GraphST,0.01,34,0.6922611261,0.6038988201,0,0
HBCA1,HBCA1,GraphST,0.02,74,0.6960620689,0.582191467,0,0
HBCA1,HBCA1,GraphST,0.03,101,0.69341233,0.582191467,0,0
HBCA1,HBCA1,STAGATE,0.01,53,0.7895252707,0.7012441029,0,0
HBCA1,HBCA1,STAGATE,0.02,93,0.7918754463,0.7012441029,0,0
HBCA1,HBCA1,STAGATE,0.03,118,0.7890989327,0.6819993579,0,0
HBCA1,HBCA1,SpaGCN,0.01,53,0.7069197796,0.6468031881,0,0
HBCA1,HBCA1,SpaGCN,0.02,98,0.7078270374,0.6468031881,0,0
HBCA1,HBCA1,SpaGCN,0.03,131,0.7065531516,0.6468031881,0,0
HBCA1,HBCA1,BANKSY,0.01,54,0.922468811,0.8424900126,0,0
HBCA1,HBCA1,BANKSY,0.02,77,0.9156083997,0.8210652391,0,0
HBCA1,HBCA1,BANKSY,0.03,99,0.9077075567,0.8210652391,0,0
HBCA1,HBCA1,SEDR,0.01,41,0.69170503461999999,0.53486837408599996,0,0
HBCA1,HBCA1,SEDR,0.02,66,0.67198122964600004,0.51729794120499994,0,0
