section,section_display,method,seed,reference_ari
STARmap,STARmap,SpaGCN,18,0.47039028170000002
STARmap,STARmap,SpaGCN,19,0.38978617999999998
STARmap,STARmap,SpaGCN,20,0.45048326820000001
STARmap,STARmap,BANKSY,1,0.55457179400000001
STARmap,STARmap,BANKSY,2,0.56236677170000005
STARmap,STARmap,BANKSY,3,0.56596951969999998
STARmap,STARmap,BANKSY,4,0.56236677170000005
STARmap,STARmap,BANKSY,5,0.56566070960000003
STARmap,STARmap,BANKSY,6,0.56518045640000003
STARmap,STARmap,BANKSY,7,0.45596976119999999
STARmap,STARmap,BANKSY,8,0.55877204800000002
STARmap,STARmap,BANKSY,9,0.56961181390000004
STARmap,STARmap,BANKSY,10,0.56548395620000003
STARmap,STARmap,BANKSY,11,0.45816048500000001
STARmap,STARmap,BANKSY,12,0.4587649734
STARmap,STARmap,BANKSY,13,0.54611419679999995
STARmap,STARmap,BANKSY,14,0.56158333270000005
STARmap,STARmap,BANKSY,15,0.56279719100000003
STARmap,STARmap,BANKSY,16,0.56961181390000004
STARmap,STARmap,BANKSY,17,0.54542509289999996
STARmap,STARmap,BANKSY,18,0.61422064570000001
STARmap,STARmap,BANKSY,19,0.6113893883
STARmap,STARmap,BANKSY,20,0.55122903940000001
STARmap,STARmap,SEDR,1,0.59437781682199986
STARmap,STARmap,SEDR,2,0.61403469237099995
STARmap,STARmap,SEDR,3,0.422251159401
STARmap,STARmap,SEDR,4,0.53740738923300002
STARmap,STARmap,SEDR,5,0.54175814162799985
STARmap,STARmap,SEDR,6,0.60343741134899986
STARmap,STARmap,SEDR,7,0.53348832567000004
STARmap,STARmap,SEDR,8,0.53809643348400005
STARmap,STARmap,SEDR,9,0.55283032449699987
STARmap,STARmap,SEDR,10,0.55860792714499985
STARmap,STARmap,SEDR,11,0.59623550948000004
STARmap,STARmap,SEDR,12,0.61850481719999995
STARmap,STARmap,SEDR,13,0.53507130722200003
STARmap,STARmap,SEDR,14,0.57107079781100001
STARmap,STARmap,SEDR,15,0.46810850870600001
STARmap,STARmap,SEDR,16,0.561867644286
STARmap,STARmap,SEDR,17,0.600940783205
STARmap,STARmap,SEDR,18,0.56565717982499986
STARmap,STARmap,SEDR,19,0.53331719571000002
STARmap,STARmap,SEDR,20,0.53779352963299987
HBCA1,HBCA1,GraphST,1,0.55435845520000004
HBCA1,HBCA1,GraphST,2,0.50933106299999997
HBCA1,HBCA1,GraphST,3,0.57439873480000003
HBCA1,HBCA1,GraphST,4,0.52836182669999998
HBCA1,HBCA1,GraphST,5,0.49690941490000001
HBCA1,HBCA1,GraphST,6,0.53323491089999997
HBCA1,HBCA1,GraphST,7,0.51015091639999999
HBCA1,HBCA1,GraphST,8,0.48990955000000003
HBCA1,HBCA1,GraphST,9,0.50640346030000005
HBCA1,HBCA1,GraphST,10,0.50780873419999994
HBCA1,HBCA1,GraphST,11,0.51731690969999999
HBCA1,HBCA1,GraphST,12,0.56079574769999996
HBCA1,HBCA1,GraphST,13,0.52573871510000003
HBCA1,HBCA1,GraphST,14,0.57339112969999995
HBCA1,HBCA1,GraphST,15,0.57355753350000005
HBCA1,HBCA1,GraphST,16,0.55674971340000001
HBCA1,HBCA1,GraphST,17,0.5216266464
HBCA1,HBCA1,GraphST,18,0.54801213920000003
HBCA1,HBCA1,GraphST,19,0.49576216870000001
HBCA1,HBCA1,GraphST,20,0.51429503600000004
HBCA1,HBCA1,STAGATE,1,0.63035817240000003
HBCA1,HBCA1,STAGATE,2,0.62401117419999996
HBCA1,HBCA1,STAGATE,3,0.55475807210000005
HBCA1,HBCA1,STAGATE,4,0.61870218160000001
HBCA1,HBCA1,STAGATE,5,0.63513903189999998
HBCA1,HBCA1,STAGATE,6,0.6462814643
HBCA1,HBCA1,STAGATE,7,0.61095274229999996
HBCA1,HBCA1,STAGATE,8,0.58867237390000005
HBCA1,HBCA1,STAGATE,9,0.58304353499999995
HBCA1,HBCA1,STAGATE,10,0.61870561999999996
HBCA1,HBCA1,STAGATE,11,0.64228044470000001
HBCA1,HBCA1,STAGATE,12,0.62796367289999999
HBCA1,HBCA1,STAGATE,13,0.62845132479999999
HBCA1,HBCA1,STAGATE,14,0.62425705490000005
HBCA1,HBCA1,STAGATE,15,0.64523431899999995
HBCA1,HBCA1,STAGATE,16,0.63112636310000003
HBCA1,HBCA1,STAGATE,17,0.63378193599999999
HBCA1,HBCA1,STAGATE,18,0.58850724710000002
HBCA1,HBCA1,STAGATE,19,0.61663425829999996
HBCA1,HBCA1,STAGATE,20,0.59205082450000002
HBCA1,HBCA1,SpaGCN,1,0.50784751230000003
HBCA1,HBCA1,SpaGCN,2,0.54872470210000002
HBCA1,HBCA1,SpaGCN,3,0.49543927199999999
HBCA1,HBCA1,SpaGCN,4,0.53817528290000005
HBCA1,HBCA1,SpaGCN,5,0.50367915490000004
HBCA1,HBCA1,SpaGCN,6,0.56055369690000001
HBCA1,HBCA1,SpaGCN,7,0.54234949769999996
HBCA1,HBCA1,SpaGCN,8,0.51990174720000004
HBCA1,HBCA1,SpaGCN,9,0.53462253709999996
HBCA1,HBCA1,SpaGCN,10,0.5126051694
HBCA1,HBCA1,SpaGCN,11,0.49521482639999997
HBCA1,HBCA1,SpaGCN,12,0.54910723439999998
HBCA1,HBCA1,SpaGCN,13,0.53415457550000001
HBCA1,HBCA1,SpaGCN,14,0.53858062090000003
HBCA1,HBCA1,SpaGCN,15,0.53966082100000001
HBCA1,HBCA1,SpaGCN,16,0.53785105320000004
HBCA1,HBCA1,SpaGCN,17,0.51084840990000002
HBCA1,HBCA1,SpaGCN,18,0.54990182369999996
HBCA1,HBCA1,SpaGCN,19,0.52927518659999995
HBCA1,HBCA1,SpaGCN,20,0.52908651289999997
HBCA1,HBCA1,BANKSY,1,0.64006174110000003
HBCA1,HBCA1,BANKSY,2,0.65220802460000005
HBCA1,HBCA1,BANKSY,3,0.64223494469999998
HBCA1,HBCA1,BANKSY,4,0.64872340579999999
HBCA1,HBCA1,BANKSY,5,0.63613700169999998
HBCA1,HBCA1,BANKSY,6,0.58516515599999996
HBCA1,HBCA1,BANKSY,7,0.61342271120000003
HBCA1,HBCA1,BANKSY,8,0.63554642120000004
HBCA1,HBCA1,BANKSY,9,0.61765585919999999
HBCA1,HBCA1,BANKSY,10,0.5717066569
HBCA1,HBCA1,BANKSY,11,0.63978732199999999
HBCA1,HBCA1,BANKSY,12,0.60438125090000006
HBCA1,HBCA1,BANKSY,13,0.57078702120000002
HBCA1,HBCA1,BANKSY,14,0.59979803139999999
HBCA1,HBCA1,BANKSY,15,0.60037085310000005
HBCA1,HBCA1,BANKSY,16,0.63407457720000004
HBCA1,HBCA1,BANKSY,17,0.64231179579999997
HBCA1,HBCA1,BANKSY,18,0.63927556720000001
HBCA1,HBCA1,BANKSY,19,0.57066479250000002
HBCA1,HBCA1,BANKSY,20,0.64389888699999998
HBCA1,HBCA1,SEDR,1,0.446071138837
