section,section_display,method,seed_r,seed_s,pairwise_partition_ari,top50_marker_jaccard,marker_rank_spearman
151507,151507,STAGATE,6,9,0.84399760999999995,0.85185184999999997,0.96241193000000003
151507,151507,STAGATE,6,12,0.83504405999999998,0.92307691999999997,0.96559138
151507,151507,STAGATE,6,13,0.83152890999999995,0.88679244999999995,0.96639664000000003
151507,151507,STAGATE,6,14,0.56341196000000004,0.78571429000000004,0.91286233999999999
151507,151507,STAGATE,6,15,0.84286004999999997,0.88679244999999995,0.95972018999999997
151507,151507,STAGATE,6,16,0.84494866000000002,0.92307691999999997,0.97500524
151507,151507,STAGATE,6,17,0.85990666000000004,0.92307691999999997,0.97073862
151507,151507,STAGATE,6,19,0.84319834999999999,0.88679244999999995,0.96275767999999995
151507,151507,STAGATE,7,8,0.60770044000000001,0.81818181999999995,0.92705738999999998
151507,151507,STAGATE,7,11,0.58697328999999998,0.75438596000000002,0.90792510000000004
151507,151507,STAGATE,8,10,0.80719876999999995,0.88679244999999995,0.92366126999999998
151507,151507,STAGATE,9,12,0.80886276000000001,0.88679244999999995,0.95839096999999995
151507,151507,STAGATE,9,14,0.56276908999999997,0.78571429000000004,0.90318485000000004
151507,151507,STAGATE,9,15,0.82350076999999999,0.92307691999999997,0.96284893000000005
151507,151507,STAGATE,9,16,0.81893576999999995,0.88679244999999995,0.95759841999999995
151507,151507,STAGATE,9,17,0.83529103999999998,0.88679244999999995,0.95995266000000001
151507,151507,STAGATE,9,19,0.81736439999999999,0.88679244999999995,0.95850173999999999
151507,151507,STAGATE,12,13,0.81160591000000004,0.88679244999999995,0.97174399
151507,151507,STAGATE,12,14,0.54552144999999996,0.78571429000000004,0.88477528000000005
151507,151507,STAGATE,12,15,0.82703126000000005,0.88679244999999995,0.95369137999999998
151507,151507,STAGATE,12,16,0.83043157000000001,0.88679244999999995,0.96765723999999997
151507,151507,STAGATE,12,17,0.85896435000000004,0.88679244999999995,0.97597206000000003
151507,151507,STAGATE,12,19,0.85255919999999996,0.88679244999999995,0.96923539999999997
151507,151507,STAGATE,13,19,0.83397423999999998,0.88679244999999995,0.95685993000000003
151507,151507,STAGATE,14,15,0.55939017999999996,0.75438596000000002,0.9026381
151507,151507,STAGATE,14,16,0.57359662,0.78571429000000004,0.90608224000000004
151507,151507,STAGATE,14,17,0.56704339000000004,0.75438596000000002,0.90736068999999997
151507,151507,STAGATE,14,19,0.56273348000000001,0.78571429000000004,0.90202561999999997
151507,151507,STAGATE,15,16,0.82914876999999998,0.92307691999999997,0.9624857
151507,151507,STAGATE,15,17,0.85153961,0.92307691999999997,0.96564282000000001
151507,151507,STAGATE,15,19,0.84870838000000004,0.92307691999999997,0.96559052000000001
151507,151507,STAGATE,16,17,0.85595113,0.92307691999999997,0.97346666999999998
151507,151507,STAGATE,16,19,0.82739355000000003,0.92307691999999997,0.95937998000000002
151507,151507,STAGATE,17,19,0.85875710000000005,0.92307691999999997,0.96226391
151507,151507,SpaGCN,1,2,0.58305658999999999,0.74031477000000001,0.85059368000000002
151507,151507,SpaGCN,1,10,0.53863525999999995,0.69930875999999997,0.84876989000000003
151507,151507,SpaGCN,1,11,0.52285669999999995,0.55844156,0.78219525999999995
151507,151507,SpaGCN,1,15,0.42536278,0.44791667000000002,0.72155674999999997
151507,151507,SpaGCN,1,19,0.56515705999999999,0.68364460000000005,0.84576867
151507,151507,SpaGCN,2,10,0.61099433000000003,0.75438596000000002,0.90814174000000003
151507,151507,SpaGCN,2,11,0.53429740000000003,0.21951219999999999,0.44262601000000001
151507,151507,SpaGCN,2,12,0.63496516000000003,0.75654854000000005,0.87141884000000003
151507,151507,SpaGCN,2,15,0.40441904000000001,0.47058823999999999,0.69531520000000002
151507,151507,SpaGCN,2,19,0.65594118999999995,0.81818181999999995,0.91155180999999996
151507,151507,SpaGCN,3,14,0.57519012999999997,0.51515151999999997,0.84874978000000001
151507,151507,SpaGCN,4,6,0.59041074000000004,0.69491524999999998,0.88618454000000002
151507,151507,SpaGCN,4,13,0.58225232999999998,0.58730159000000004,0.86305041000000005
151507,151507,SpaGCN,5,11,0.57847141000000002,0.51515151999999997,0.73866134999999999
151507,151507,SpaGCN,5,12,0.72711837000000001,0.73704702,0.93570348000000003
151507,151507,SpaGCN,5,14,0.52218821999999998,0.38888888999999999,0.72753338999999995
151507,151507,SpaGCN,5,19,0.56308999000000004,0.53846154000000002,0.76691352999999995
151507,151507,SpaGCN,6,8,0.69975471,0.75438596000000002,0.95102960999999997
