section,method,seed,reference_ari,reference_nmi,n_spots,n_clusters,section_display,n_cells,n_genes
151508,SEDR,16,0.5068349201499999,0.652800946481,4384.0,7,151508,4384.0,18067.0
151508,SEDR,17,0.5321088514499999,0.665979856972,4384.0,7,151508,4384.0,18067.0
151508,SEDR,18,0.497278763913,0.633998675007,4384.0,7,151508,4384.0,18067.0
151508,SEDR,19,0.48277281955,0.6185216757939999,4384.0,7,151508,4384.0,18067.0
151508,SEDR,20,0.511070817611,0.6560115008679999,4384.0,7,151508,4384.0,18067.0
151509,GraphST,1,0.2907168635,0.4592628019,4789.0,7,151509,,
151509,GraphST,2,0.3687092961,0.4862875105,4789.0,7,151509,,
151509,GraphST,3,0.2783704387,0.4519105875,4789.0,7,151509,,
151509,GraphST,4,0.3217261645,0.4760399502,4789.0,7,151509,,
151509,GraphST,5,0.4251023277,0.5409905676,4789.0,7,151509,,
151509,GraphST,6,0.3060963281,0.4732676477,4789.0,7,151509,,
151509,GraphST,7,0.3684402545,0.4887269926,4789.0,7,151509,,
151509,GraphST,8,0.3186327014,0.4694029109,4789.0,7,151509,,
151509,GraphST,9,0.2942831962,0.4713858441,4789.0,7,151509,,
151509,GraphST,10,0.3811446534,0.4995628096,4789.0,7,151509,,
151509,GraphST,11,0.3245414104,0.4766799695,4789.0,7,151509,,
151509,GraphST,12,0.3085922284,0.4744846761,4789.0,7,151509,,
151509,GraphST,13,0.2974109604,0.4604221477,4789.0,7,151509,,
151509,GraphST,14,0.2669029118,0.4320076254,4789.0,7,151509,,
151509,GraphST,15,0.3076068876,0.475394828,4789.0,7,151509,,
151509,GraphST,16,0.4072410815,0.5252560793,4789.0,7,151509,,
151509,GraphST,17,0.2953378993,0.4340215803,4789.0,7,151509,,
151509,GraphST,18,0.273373528,0.4378616031,4789.0,7,151509,,
151509,GraphST,19,0.2661394937,0.4471189953,4789.0,7,151509,,
151509,GraphST,20,0.2857396088,0.4479116786,4789.0,7,151509,,
151509,STAGATE,1,0.4208934989,0.5497948165,4789.0,7,151509,,
151509,STAGATE,2,0.4064519366,0.536873693,4789.0,7,151509,,
151509,STAGATE,3,0.3872012264,0.5404504974,4789.0,7,151509,,
151509,STAGATE,4,0.4164218101,0.5546766383,4789.0,7,151509,,
151509,STAGATE,5,0.3614756561,0.5336216604,4789.0,7,151509,,
151509,STAGATE,6,0.4214458633,0.5509993165,4789.0,7,151509,,
151509,STAGATE,7,0.4141135991,0.5411370179,4789.0,7,151509,,
151509,STAGATE,8,0.4152677798,0.538058952,4789.0,7,151509,,
151509,STAGATE,9,0.4923665193,0.6023327397,4789.0,7,151509,,
151509,STAGATE,10,0.4124366011,0.5354314774,4789.0,7,151509,,
151509,STAGATE,11,0.414128475,0.5409793162,4789.0,7,151509,,
151509,STAGATE,12,0.3953555366,0.5409756354,4789.0,7,151509,,
151509,STAGATE,13,0.499627496,0.5858996033,4789.0,7,151509,,
151509,STAGATE,14,0.4924059165,0.6090593755,4789.0,7,151509,,
151509,STAGATE,15,0.4011195855,0.5357634849,4789.0,7,151509,,
151509,STAGATE,16,0.4136745566,0.5507378291,4789.0,7,151509,,
151509,STAGATE,17,0.3216535539,0.4963003069,4789.0,7,151509,,
151509,STAGATE,18,0.3998924868,0.5380707205,4789.0,7,151509,,
151509,STAGATE,19,0.4114006138,0.5395991392,4789.0,7,151509,,
151509,STAGATE,20,0.4251571698,0.5551002444,4789.0,7,151509,,
151509,SpaGCN,1,0.3783027507,0.5027812026,4789.0,7,151509,,
151509,SpaGCN,2,0.3607210452,0.4905014409,4789.0,7,151509,,
151509,SpaGCN,3,0.3443572258,0.507366364,4789.0,7,151509,,
151509,SpaGCN,4,0.3672029493,0.5129504508,4789.0,7,151509,,
151509,SpaGCN,5,0.3109981118,0.4671549824,4789.0,7,151509,,
151509,SpaGCN,6,0.2042837475,0.3404200118,4789.0,7,151509,,
151509,SpaGCN,7,0.3668415622,0.5432472291,4789.0,7,151509,,
151509,SpaGCN,8,0.331257637,0.4951298146,4789.0,7,151509,,
151509,SpaGCN,9,0.298886284,0.4544419984,4789.0,7,151509,,
151509,SpaGCN,10,0.3311459387,0.4971852309,4789.0,7,151509,,
151509,SpaGCN,11,0.3442650965,0.4968006759,4789.0,7,151509,,
151509,SpaGCN,12,0.3650768274,0.5016003156,4789.0,7,151509,,
151509,SpaGCN,13,0.3180594915,0.4775647986,4789.0,7,151509,,
151509,SpaGCN,14,0.3183967915,0.4780447782,4789.0,7,151509,,
151509,SpaGCN,15,0.3266732131,0.4870423276,4789.0,7,151509,,
151509,SpaGCN,16,0.379367343,0.5387611521,4789.0,7,151509,,
151509,SpaGCN,17,0.3099919382,0.454410353,4789.0,7,151509,,
151509,SpaGCN,18,0.3410039808,0.506186106,4789.0,7,151509,,
151509,SpaGCN,19,0.3263787378,0.4867141439,4789.0,7,151509,,
151509,SpaGCN,20,0.3469975594,0.4810384049,4789.0,7,151509,,
151509,BANKSY,1,0.4811860441,0.5930011561,4789.0,7,151509,,
151509,BANKSY,2,0.4204109744,0.5544314995,4789.0,7,151509,,
151509,BANKSY,3,0.35677052,0.569622972,4789.0,7,151509,,
151509,BANKSY,4,0.3878120711,0.5655302601,4789.0,7,151509,,
151509,BANKSY,5,0.3874844159,0.5639700583,4789.0,7,151509,,
151509,BANKSY,6,0.3643048808,0.5724789803,4789.0,7,151509,,
151509,BANKSY,7,0.3643048808,0.5724789803,4789.0,7,151509,,
151509,BANKSY,8,0.3581386577,0.5699291836,4789.0,7,151509,,
151509,BANKSY,9,0.3875077688,0.564865324,4789.0,7,151509,,
151509,BANKSY,10,0.3576786524,0.5692102316,4789.0,7,151509,,
151509,BANKSY,11,0.2846992309,0.4706647079,4789.0,7,151509,,
151509,BANKSY,12,0.3576726826,0.5695664388,4789.0,7,151509,,
151509,BANKSY,13,0.2882351706,0.4813394812,4789.0,7,151509,,
151509,BANKSY,14,0.3564045062,0.5697892024,4789.0,7,151509,,
151509,BANKSY,15,0.4204109744,0.5544314995,4789.0,7,151509,,
151509,BANKSY,16,0.2591342597,0.4582145334,4789.0,7,151509,,
151509,BANKSY,17,0.3558026763,0.5672374397,4789.0,7,151509,,
151509,BANKSY,18,0.3404548319,0.5609897733,4789.0,7,151509,,
151509,BANKSY,19,0.2882351706,0.4813394812,4789.0,7,151509,,
151509,BANKSY,20,0.4204109744,0.5544314995,4789.0,7,151509,,
151509,SEDR,1,0.5496558355999999,0.689181842531,4789.0,7,151509,4789.0,18688.0
151509,SEDR,2,0.530037797415,0.6762571246249999,4789.0,7,151509,4789.0,18688.0
151509,SEDR,3,0.3779966625069999,0.592718791483,4789.0,7,151509,4789.0,18688.0
151509,SEDR,4,0.4512783923209999,0.650743199858,4789.0,7,151509,4789.0,18688.0
151509,SEDR,5,0.516147468926,0.6675577965,4789.0,7,151509,4789.0,18688.0
151509,SEDR,6,0.436206231755,0.624197952413,4789.0,7,151509,4789.0,18688.0
151509,SEDR,7,0.381318077006,0.571857859254,4789.0,7,151509,4789.0,18688.0
151509,SEDR,8,0.506684081292,0.6465339458209999,4789.0,7,151509,4789.0,18688.0
151509,SEDR,9,0.562412460114,0.700985627477,4789.0,7,151509,4789.0,18688.0
151509,SEDR,10,0.528691141154,0.6698161854799999,4789.0,7,151509,4789.0,18688.0
151509,SEDR,11,0.4750947781409999,0.6381388254569998,4789.0,7,151509,4789.0,18688.0
151509,SEDR,12,0.5095994949609999,0.6572018677669998,4789.0,7,151509,4789.0,18688.0
151509,SEDR,13,0.659670150623,0.712632856638,4789.0,7,151509,4789.0,18688.0
151509,SEDR,14,0.464190407472,0.6375932882529999,4789.0,7,151509,4789.0,18688.0
151509,SEDR,15,0.755876800431,0.747705930675,4789.0,7,151509,4789.0,18688.0
151509,SEDR,16,0.511389102571,0.6604509215349998,4789.0,7,151509,4789.0,18688.0
151509,SEDR,17,0.458332181058,0.641741796934,4789.0,7,151509,4789.0,18688.0
151509,SEDR,18,0.545052190537,0.680945119319,4789.0,7,151509,4789.0,18688.0
151509,SEDR,19,0.4318217639649999,0.638627445005,4789.0,7,151509,4789.0,18688.0
151509,SEDR,20,0.4352727641899999,0.622571606358,4789.0,7,151509,4789.0,18688.0
151510,GraphST,1,0.23400616,0.4176575117,4634.0,7,151510,,
151510,GraphST,2,0.3124064584,0.4766977976,4634.0,7,151510,,
151510,GraphST,3,0.3308363284,0.4690188093,4634.0,7,151510,,
