section,method,median_single_seed_reference_ari,best_single_seed_reference_ari,consensus20_reference_ari,consensus20_reference_nmi,split_half_consensus_ari,algorithm,median_single_seed_pairwise_ari,split_half_gain_over_median_single_seed_pairwise_ari,section_display
151676,BANKSY,0.2385897265,0.281441295,0.247108294,0.4340993478,0.9892417149,average-linkage agglomeration of unweighted co-association matrix,0.6684502538,0.3207914611,151676
151676,SEDR,0.531073354683,0.587018998465,0.564029928944,0.698394242576,0.809204532019,unweighted 20-seed co-association; D=1-C; average-linkage agglomeration at project K,0.746530055366,0.0626744766531,151676
STARmap,GraphST,0.4829638238,0.5216490188,0.5276565437,0.6200619129,0.8396426393,average-linkage agglomeration of unweighted co-association matrix,0.6040361658,0.2356064735,STARmap
STARmap,STAGATE,0.2980304272,0.3235788139,0.3156585008,0.3379861175,0.8308639314,average-linkage agglomeration of unweighted co-association matrix,0.6493359966,0.1815279348,STARmap
STARmap,SpaGCN,0.3737877693,0.4703902817,0.4457124851,0.4715214233,0.8075830791,average-linkage agglomeration of unweighted co-association matrix,0.5030877553,0.3044953238,STARmap
STARmap,BANKSY,0.5623667717,0.6142206457,0.5615768223,0.6468075323,0.9544862617,average-linkage agglomeration of unweighted co-association matrix,0.8861083602,0.06837790159,STARmap
STARmap,SEDR,0.555719125821,0.6185048172,0.53665051979,0.643435787758,0.942216878045,unweighted 20-seed co-association; D=1-C; average-linkage agglomeration at project K,0.755402499547,0.186814378497,STARmap
HBCA1,GraphST,0.5236826808,0.5743987348,0.56700605,0.6253403872,0.8571162449,average-linkage agglomeration of unweighted co-association matrix,0.6715693387,0.1855469063,HBCA1
HBCA1,STAGATE,0.6241341146,0.6462814643,0.6559681516,0.6910353773,0.8869246096,average-linkage agglomeration of unweighted co-association matrix,0.7711371276,0.115787482,HBCA1
HBCA1,SpaGCN,0.5343885563,0.5605536969,0.5389623873,0.6401368872,0.8314667072,average-linkage agglomeration of unweighted co-association matrix,0.6960999323,0.1353667748,HBCA1
HBCA1,BANKSY,0.6348104992,0.6522080246,0.6024370377,0.6693124663,0.9560337492,average-linkage agglomeration of unweighted co-association matrix,0.8614898809,0.09454386823,HBCA1
HBCA1,SEDR,0.392822776578,0.453892388525,0.408530109099,0.662377441851,0.80176849044,unweighted 20-seed co-association; D=1-C; average-linkage agglomeration at project K,0.638104786781,0.163663703658,HBCA1
Bregma −0.04,GraphST,0.2234205638,0.293955731,0.2370701214,0.4465995179,0.757400882,average-linkage agglomeration of unweighted co-association matrix; K=8,0.3279708849,0.4294299971,Bregma −0.04
Bregma −0.04,STAGATE,0.402722006,0.5548836671,0.4015229123,0.5480296695,0.6044151055,average-linkage agglomeration of unweighted co-association matrix; K=8,0.5140498777,0.09036522772,Bregma −0.04
Bregma −0.04,SpaGCN,0.1262435323,0.1910755439,0.1266604903,0.2096938377,0.5847913751,average-linkage agglomeration of unweighted co-association matrix; K=8,0.335927463,0.2488639121,Bregma −0.04
Bregma −0.04,BANKSY,0.1571147022,0.2058228474,0.1571147022,0.2591085718,0.9933218986,average-linkage agglomeration of unweighted co-association matrix; K=8,0.6336702138,0.3596516848,Bregma −0.04
Bregma −0.04,SEDR,0.168004673149,0.206937157348,0.158667197817,0.291104287096,0.55714211763,unweighted 20-seed co-association; D=1-C; average-linkage agglomeration at project K,0.527845685086,0.0292964325441,Bregma −0.04
Bregma −0.09,GraphST,0.3528495043,0.4278380458,0.3213864085,0.4878404334,0.5546044859,average-linkage agglomeration of unweighted co-association matrix; K=8,0.4825066402,0.07209784568,Bregma −0.09
Bregma −0.09,STAGATE,0.4155898981,0.5348259865,0.418773002,0.5342197638,0.777275757,average-linkage agglomeration of unweighted co-association matrix; K=8,0.6122310212,0.1650447359,Bregma −0.09
Bregma −0.09,SpaGCN,0.2321724519,0.3108125627,0.2891371465,0.3541246573,0.5639719537,average-linkage agglomeration of unweighted co-association matrix; K=8,0.4213462554,0.1426256983,Bregma −0.09
Bregma −0.09,BANKSY,0.2306868096,0.2809777002,0.2306868096,0.3367522365,0.9998278494,average-linkage agglomeration of unweighted co-association matrix; K=8,0.9502358174,0.04959203194,Bregma −0.09
Bregma −0.09,SEDR,0.256526489184,0.412371678636,0.230932418911,0.359310533148,0.662786621563,unweighted 20-seed co-association; D=1-C; average-linkage agglomeration at project K,0.522842246522,0.139944375041,Bregma −0.09
Bregma −0.14,GraphST,0.3693686778,0.3967108753,0.3687427178,0.5174678857,0.7592581441,average-linkage agglomeration of unweighted co-association matrix; K=8,0.4667685774,0.2924895666,Bregma −0.14
